Fecha,Hora,AE_kWh
03/02/2023,15,"0,150"
03/02/2023,16,"1,966"
03/02/2023,17,"0,393"
03/02/2023,18,"1,190"
03/02/2023,19,"0,691"
03/02/2023,20,"1,882"
03/02/2023,21,"0,873"
03/02/2023,22,"2,001"
03/02/2023,23,"0,475"
03/02/2023,24,"2,810"
04/02/2023,1,"2,602"
04/02/2023,2,"1,171"
04/02/2023,3,"1,422"
04/02/2023,4,"1,778"
04/02/2023,5,"1,582"
04/02/2023,6,"1,504"
04/02/2023,7,"1,866"
04/02/2023,8,"1,649"
04/02/2023,9,"2,472"
04/02/2023,10,"2,068"
04/02/2023,11,"1,968"
04/02/2023,12,"1,082"
04/02/2023,13,"0,187"
04/02/2023,14,"0,181"
04/02/2023,15,"3,024"
04/02/2023,16,"0,267"
04/02/2023,17,"0,109"
04/02/2023,18,"0,640"
04/02/2023,19,"0,200"
04/02/2023,20,"2,593"
04/02/2023,21,"3,318"
04/02/2023,22,"4,235"
04/02/2023,23,"3,003"
04/02/2023,24,"2,801"
05/02/2023,1,"1,681"
05/02/2023,2,"0,091"
05/02/2023,3,"0,080"
05/02/2023,4,"0,073"
05/02/2023,5,"0,098"
05/02/2023,6,"1,911"
05/02/2023,7,"0,235"
05/02/2023,8,"1,777"
05/02/2023,9,"0,494"
05/02/2023,10,"1,443"
05/02/2023,11,"0,442"
05/02/2023,12,"1,749"
05/02/2023,13,"2,555"
05/02/2023,14,"0,285"
05/02/2023,15,"1,141"
05/02/2023,16,"1,083"
05/02/2023,17,"0,498"
05/02/2023,18,"0,947"
05/02/2023,19,"0,985"
05/02/2023,20,"1,219"
05/02/2023,21,"0,401"
05/02/2023,22,"0,474"
05/02/2023,23,"0,421"
05/02/2023,24,"0,097"
06/02/2023,1,"0,121"
06/02/2023,2,"0,181"
06/02/2023,3,"0,107"
06/02/2023,4,"0,232"
06/02/2023,5,"0,197"
06/02/2023,6,"2,588"
06/02/2023,7,"1,066"
06/02/2023,8,"1,546"
06/02/2023,9,"1,212"
06/02/2023,10,"1,516"
06/02/2023,11,"0,301"
06/02/2023,12,"1,368"
06/02/2023,13,"0,201"
06/02/2023,14,"1,942"
06/02/2023,15,"0,320"
06/02/2023,16,"2,660"
06/02/2023,17,"1,335"
06/02/2023,18,"1,288"
06/02/2023,19,"1,130"
06/02/2023,20,"1,121"
06/02/2023,21,"1,364"
06/02/2023,22,"1,452"
06/02/2023,23,"2,201"
06/02/2023,24,"0,225"
07/02/2023,1,"0,164"
07/02/2023,2,"1,185"
07/02/2023,3,"0,263"
07/02/2023,4,"1,282"
07/02/2023,5,"0,618"
